DEPARTMENT_ID,LAST_RANK,PREDICTED_LAST_RANK,FIRST_RANK,PREDICTED_FIRST_RANK,Mean_Actual,Mean_Predicted
103410457,5290,5068.528,273,319.2693,2781.5,2693.8984
103410466,274874,280196.25,147002,148333.14,210938.0,214264.69
103410606,431307,434680.75,202566,207861.03,316936.5,321270.88
103410615,46828,46645.484,12503,12276.722,29665.5,29461.104
103410624,69444,69972.6,1168,1096.7826,35306.0,35534.69
103410633,268377,271870.12,176726,184977.61,222551.5,228423.88
103410642,188033,189408.86,79018,80214.336,133525.5,134811.6
103410651,514824,521812.62,223348,228901.86,369086.0,375357.25
103410669,349735,354997.94,183936,195865.44,266835.5,275431.7
103410687,441625,443352.6,246355,256355.6,343990.0,349854.1
103410696,337091,337264.7,140210,148848.11,238650.5,243056.4
103410703,357328,357927.6,209220,221940.73,283274.0,289934.16
103410712,452991,456251.56,283684,289643.16,368337.5,372947.38
103410748,447822,448019.47,34297,32937.96,241059.5,240478.72
103410757,545510,560561.06,198965,205425.86,372237.5,382993.47
103410784,13514,13609.718,2850,2750.6663,8182.0,8180.192
103410793,108126,111408.29,55988,55443.598,82057.0,83425.945
103410872,222678,214272.84,222678,213068.34,222678.0,213670.6
103410906,313585,318163.34,211460,225881.06,262522.5,272022.2
103410915,3230,3213.6592,1525,1520.2073,2377.5,2366.933
103410942,114414,116907.24,68867,69160.74,91640.5,93033.99
103410951,184502,188972.23,79169,79271.484,131835.5,134121.86
103410978,385731,374204.9,385731,359740.97,385731.0,366972.94
103490164,22929,23417.715,3118,2941.184,13023.5,13179.449
103490273,271110,269134.88,40659,39646.79,155884.5,154390.83
103490362,13312,13379.97,3340,3314.992,8326.0,8347.48
103490363,5791,5563.846,3050,2859.013,4420.5,4211.4297
103490364,446376,445094.2,181978,190929.56,314177.0,318011.88
103490365,161884,164209.66,79575,81628.9,120729.5,122919.28
103490438,208377,208591.22,115123,120063.87,161750.0,164327.55
103490442,27841,28419.49,14027,13966.133,20934.0,21192.812
103510014,33097,33896.773,16861,16989.568,24979.0,25443.172
103510023,50727,51951.426,34293,34326.49,42510.0,43138.957
103510059,219411,213129.31,50111,53179.184,134761.0,133154.25
103510068,14009,13936.501,4275,4251.364,9142.0,9093.933
103510077,85334,83825.54,31066,31233.17,58200.0,57529.355
103510086,75336,75012.6,28394,28208.271,51865.0,51610.438
103510095,28365,28719.996,4529,4532.5693,16447.0,16626.283
103510102,412222,415332.94,251016,254115.25,331619.0,334724.1
103510111,411689,410794.53,180758,192913.61,296223.5,301854.06
103510129,32582,33128.906,14093,14738.717,23337.5,23933.812
103510138,428700,427097.25,75858,74118.02,252279.0,250607.64
103510147,25536,25671.957,10001,10086.135,17768.5,17879.047
103510156,25033,25087.146,9405,9425.215,17219.0,17256.18
103510165,361480,362726.75,177836,184499.28,269658.0,273613.0
103510174,33735,32411.893,12908,12866.506,23321.5,22639.2
103510183,315373,319625.28,101088,103740.234,208230.5,211682.75
103510192,54892,55217.96,14715,14700.63,34803.5,34959.297
103510208,502017,501109.22,102397,102317.984,302207.0,301713.6
103510217,152966,154013.39,4600,4970.683,78783.0,79492.04
103510226,117239,117116.586,12020,12013.074,64629.5,64564.83
103510235,35752,36362.99,2486,2444.1792,19119.0,19403.584
103510244,542669,551881.44,235561,241932.36,389115.0,396906.9
103510253,409025,404733.25,78650,76969.305,243837.5,240851.28
103510262,517025,534171.8,234139,246615.86,375582.0,390393.84
103510271,208328,211227.64,914,631.4883,104621.0,105929.56
103510289,560784,545335.3,100744,97174.23,330764.0,321254.78
103510305,226984,230078.23,112780,117226.766,169882.0,173652.5
103510314,518264,533320.2,306433,316178.2,412348.5,424749.2
103510323,71773,74448.94,44576,45608.527,58174.5,60028.734
103510341,121487,124126.195,66982,68547.695,94234.5,96336.945
103510359,151383,152937.31,107833,109110.47,129608.0,131023.89
103510377,271140,278164.78,166302,176219.55,218721.0,227192.16
103510395,191512,194276.34,128246,134973.16,159879.0,164624.75
103510402,293773,298167.88,139487,139274.56,216630.0,218721.22
103510411,14136,13741.242,2341,2317.2793,8238.5,8029.2607
103510429,122640,125186.98,67177,68670.71,94908.5,96928.84
103510677,381769,376093.6,106023,106415.52,243896.0,241254.56
103510686,298589,300234.9,162318,165788.56,230453.5,233011.73
103510729,198617,201551.89,111668,116024.23,155142.5,158788.06
103510774,106034,106741.59,57646,58685.848,81840.0,82713.72
103510826,223384,224707.94,128059,132740.11,175721.5,178724.03
103510835,132374,134890.92,60891,63914.438,96632.5,99402.68
103510862,425821,430638.78,102506,104307.99,264163.5,267473.38
103510898,587620,565111.75,103862,106982.92,345741.0,336047.34
103510905,872140,878362.5,254289,261486.58,563214.5,569924.56
103510914,296066,300452.6,172638,181321.11,234352.0,240886.84
103510923,678910,683466.7,295728,309105.25,487319.0,496285.97
103511075,205432,205412.53,111844,114924.84,158638.0,160168.69
103511093,910619,908758.06,692163,697745.56,801391.0,803251.8
103511109,46419,47218.344,21019,20887.674,33719.0,34053.008
103590181,57431,56314.844,21215,20942.688,39323.0,38628.766
103590184,679815,698049.06,89338,90970.33,384576.5,394509.7
103590276,213938,208859.34,130242,135714.69,172090.0,172287.02
103590343,90387,91698.695,60556,61164.145,75471.5,76431.42
103590346,140735,147166.6,59401,58746.1,100068.0,102956.34
103590347,118606,121313.13,73647,74564.4,96126.5,97938.766
103590350,791315,776005.6,57156,54334.4,424235.5,415170.0
103590351,149115,162513.7,89496,97574.93,119305.5,130044.31
103590353,743623,758018.6,174386,166618.17,459004.5,462318.4
103590354,766315,771370.5,217807,209833.44,492061.0,490601.97
103590453,14180,13945.462,2560,2584.045,8370.0,8264.754
103590454,137662,140727.61,66465,66287.29,102063.5,103507.45
103590455,320432,328162.8,132996,135431.14,226714.0,231796.97
103590456,262905,260042.47,55524,55459.62,159214.5,157751.05
103610031,134852,138079.39,77252,78488.68,106052.0,108284.03
103610049,177548,174761.67,39712,39945.027,108630.0,107353.35
103610058,57216,55673.61,15851,15476.187,36533.5,35574.9
103610067,444532,450393.22,216242,222981.36,330387.0,336687.28
103610076,489062,488102.53,74802,76612.21,281932.0,282357.38
103610085,65343,65213.168,10939,11172.131,38141.0,38192.65
103610101,28414,29839.514,18889,18457.854,23651.5,24148.684
103610137,1274990,1292323.1,498773,523985.84,886881.5,908154.5
103610146,1187744,1194215.6,461692,484370.6,824718.0,839293.1
103610155,1171655,1180839.6,265783,282033.75,718719.0,731436.7
103610164,570772,575997.2,358497,359558.16,464634.5,467777.7
103610182,679192,682002.3,270093,282408.16,474642.5,482205.25
103610207,716495,680048.7,248,839.42175,358371.5,340444.06
103610216,650823,667506.8,44564,43400.047,347693.5,355453.44
103610225,168099,167711.97,96081,99623.83,132090.0,133667.9
103610261,740988,733783.7,57809,56013.336,399398.5,394898.5
103610279,58946,60214.49,32283,31863.184,45614.5,46038.836
103610288,25330,24733.879,6648,6655.9087,15989.0,15694.894
103610313,590532,583099.3,183872,182894.05,387202.0,382996.7
103610331,781005,809906.5,318429,325800.7,549717.0,567853.6
103610349,655130,656816.6,256978,249988.08,456054.0,453402.34
103610358,1255652,1267964.5,854774,876689.6,1055213.0,1072327.0
103610367,372368,376280.84,199636,207103.78,286002.0,291692.3
103610376,199564,199223.3,58882,61994.54,129223.0,130608.92
103690062,44134,44875.86,30772,29660.057,37453.0,37267.957
103690063,28258,28244.64,13429,13333.041,20843.5,20788.84
103690088,209498,210482.81,66606,66262.51,138052.0,138372.66
103690089,1197200,1216281.5,126908,139347.77,662054.0,677814.6
103690102,575381,582531.25,163280,159523.2,369330.5,371027.22
103690109,251900,250943.53,81448,84136.375,166674.0,167539.95
103710012,292639,295136.25,257537,255668.55,275088.0,275402.4
103710021,521723,517649.16,365212,377832.5,443467.5,447740.8
103710039,458673,454059.94,389830,393717.84,424251.5,423888.88
103710048,1122754,1151288.6,427809,447071.1,775281.5,799179.9
103710057,1009705,1003124.5,653141,664109.1,831423.0,833616.8
103710075,499127,498921.4,236349,233863.53,367738.0,366392.47
103710084,1178329,1134860.8,870632,879890.94,1024480.5,1007375.9
103710093,375756,374313.4,197509,202883.33,286632.5,288598.38
103710109,256494,256090.47,208886,216753.77,232690.0,236422.12
103710118,163303,168343.97,116921,121912.4,140112.0,145128.19
103730105,135697,139074.14,58326,59035.17,97011.5,99054.66
103730107,47928,47692.87,37064,36219.87,42496.0,41956.37
103730108,263683,263409.56,200199,207045.92,231941.0,235227.75
103730109,121947,122677.84,84962,85590.38,103454.5,104134.11
103730110,351212,351276.22,293904,298363.03,322558.0,324819.62
103730111,187608,187437.45,142523,148598.34,165065.5,168017.9
103810047,76410,75775.77,64170,65221.008,70290.0,70498.39
103810056,281322,281185.9,199545,205245.5,240433.5,243215.7
103810065,320382,321821.7,183742,192689.84,252062.0,257255.77
103810074,177057,178133.28,135858,143156.3,156457.5,160644.78
103810083,32478,31375.877,9365,9197.667,20921.5,20286.771
103810092,190970,195762.55,140891,149057.08,165930.5,172409.81
103810117,90469,88735.19,38050,39029.652,64259.5,63882.42
103810126,75458,77877.94,55293,54391.637,65375.5,66134.79
103810135,297024,300413.03,176236,189124.4,236630.0,244768.72
103810144,247859,250421.17,177653,188802.36,212756.0,219611.77
103810153,327467,335768.84,96177,96959.27,211822.0,216364.06
103810162,188721,192246.02,125795,123341.59,157258.0,157793.81
103810171,39669,40959.453,18824,18555.602,29246.5,29757.527
103810189,52381,54315.85,37080,37236.555,44730.5,45776.203
103810198,64969,66504.984,43853,43282.41,54411.0,54893.695
103810205,183214,183771.39,61421,64577.133,122317.5,124174.266
103810223,87919,88867.22,64435,65030.207,76177.0,76948.71
103810232,254522,258342.08,167726,176037.64,211124.0,217189.86
103810241,79599,82458.74,56357,57308.06,67978.0,69883.4
103810259,136445,137801.03,79986,81234.92,108215.5,109517.98
103810268,124833,124372.42,87211,86789.63,106022.0,105581.03
103810277,9627,9484.887,3925,3972.5815,6776.0,6728.7344
103810374,85235,88579.27,71186,73171.63,78210.5,80875.45
103810383,365807,369495.56,138460,145128.36,252133.5,257311.97
103810408,346296,348688.2,271583,277281.22,308939.5,312984.7
103810417,456554,454974.53,382047,383703.44,419300.5,419339.0
