DEPARTMENT_ID,PREDICTED_LAST_RANK,PREDICTED_FIRST_RANK,Mean_Predicted
101690100,197613.36,124287.766,160950.56
101690108,839093.44,352570.38,595831.9
101690109,35326.633,12829.818,24078.227
101690111,905091.7,517055.12,711073.4
101690113,602972.5,279647.4,441309.94
101690118,938712.8,379174.94,658943.9
101690120,804787.1,284030.9,544409.0
101710081,676464.56,18374.88,347419.72
101710099,393763.66,158182.48,275973.06
101710106,809527.3,13816.978,411672.16
101710115,846793.06,27132.922,436963.0
101710124,919322.94,178792.8,549057.9
101710178,862115.56,233926.67,548021.1
101710266,499626.1,15082.331,257354.22
101710293,1013729.2,230155.05,621942.1
101710318,492636.88,30481.42,261559.14
101790100,1046701.7,306874.16,676787.94
101790103,48486.742,14859.989,31673.365
101790111,1112158.2,361211.66,736684.94
101790113,154923.78,63221.69,109072.734
101790114,441961.6,147705.81,294833.7
101810132,565658.5,41537.086,303597.78
101810168,806340.5,258334.2,532337.4
101810195,688391.75,88718.35,388555.06
101810229,362801.12,170569.92,266685.53
101810238,847207.5,419299.62,633253.56
101810256,463886.62,288618.25,376252.44
101890035,1000825.44,377543.25,689184.4
101890037,540810.8,335582.84,438196.8
101890039,1106618.6,275890.34,691254.5
101890057,1326297.1,530533.2,928415.1
101890062,787229.8,277983.4,532606.6
101890064,886218.8,500648.25,693433.5
101910016,991682.6,275448.4,633565.5
101910025,780921.06,403250.7,592085.9
101910043,265206.28,150070.06,207638.17
101910052,134278.94,67649.72,100964.33
101910097,487674.47,39576.484,263625.47
101910104,382034.78,246372.56,314203.7
101910113,537453.9,39218.414,288336.16
101910122,382265.12,244252.06,313258.6
101910149,842935.25,366982.5,604958.9
101910158,403926.56,30073.354,216999.95
101910176,193575.03,127630.89,160602.97
101910219,283689.0,151902.94,217795.97
101910228,269000.16,195031.89,232016.03
101910255,849556.25,368927.97,609242.1
101910291,278109.88,171058.62,224584.25
101910307,413833.28,173526.39,293679.84
101910316,500143.84,21950.371,261047.11
101990017,460296.38,294329.8,377313.1
101990019,671657.5,316814.78,494236.12
101990020,565682.75,281767.88,423725.3
101990022,226973.72,68232.086,147602.9
101990042,364406.97,229313.5,296860.25
101990043,876226.56,464718.2,670472.4
101990044,924997.94,605858.56,765428.25
101990046,915098.9,376190.44,645644.6
101990047,388685.8,226606.69,307646.25
101990048,726066.0,362440.44,544253.25
101990051,25204.898,21177.383,23191.14
101990052,69360.16,35685.465,52522.812
102010067,773513.44,33249.156,403381.3
102010094,600603.94,45287.395,322945.66
102010101,52587.44,23826.283,38206.863
102010119,408050.4,260222.83,334136.62
102010128,1081785.1,249776.94,665781.0
102010137,1108957.6,335425.1,722191.4
102010182,1340501.1,401858.28,871179.7
102010191,725050.2,242127.17,483588.7
102010207,535580.7,234561.33,385071.0
102010225,182150.08,114939.09,148544.6
102010234,492160.25,335549.56,413854.9
102010243,835869.94,76067.64,455968.78
102010252,907601.8,15864.522,461733.16
102010288,176456.67,67562.93,122009.8
102010304,185919.03,78245.33,132082.19
102010313,788361.3,396767.6,592564.44
102010322,581717.94,44782.656,313250.3
102090059,1048410.06,312141.94,680276.0
102090063,90686.82,31723.13,61204.977
102090069,40447.824,30582.285,35515.055
102090071,266660.75,113585.375,190123.06
102090073,760177.4,229628.2,494902.78
102090089,375731.84,188148.98,281940.4
102090100,581838.9,303996.56,442917.72
102090101,588434.75,338021.06,463227.9
102090102,810311.3,5841.4746,408076.4
102090103,984518.2,394106.28,689312.25
102090104,704360.44,323717.53,514039.0
102090111,1211663.2,225133.3,718398.25
102110039,439016.8,214180.7,326598.75
102110048,793187.0,40423.76,416805.38
102110084,631669.4,24343.736,328006.56
102110163,629425.2,20231.871,324828.53
102110181,1054973.5,119311.77,587142.6
102190023,998907.8,135381.42,567144.6
102190024,54811.867,22521.824,38666.844
102190037,1352122.0,447090.28,899606.1
102190047,1023956.6,304495.3,664226.0
102190048,241698.06,19256.482,130477.27
102210011,57018.36,25705.498,41361.93
102210029,92128.03,55260.95,73694.49
102210038,62631.89,32690.076,47660.984
102210047,54234.637,22741.03,38487.832
102210056,3243.0925,514.35815,1878.7253
102210065,69921.766,42349.0,56135.383
102210074,36440.508,14701.905,25571.207
102210083,1629.4926,268.3021,948.89734
102210092,7139.0503,616.8432,3877.9468
102210117,8403.2705,1180.1565,4791.7134
102210126,11396.413,213.26984,5804.8413
102210135,2469.197,97.60718,1283.4021
102210144,23461.91,2035.0701,12748.49
102210153,9058.415,844.22235,4951.319
102210162,11512.433,1835.7444,6674.0884
102210171,1278.3746,31.699219,655.0369
102210189,3108.5386,77.03625,1592.7874
102210198,550.50543,8.0345335,279.27
102210205,1126.0835,78.34433,602.2139
102210214,569.61865,1.9543645,285.7865
102210223,552.00116,6.6995473,279.35034
102210232,1141.8313,7.021427,574.4264
102210277,459.1729,3.631463,231.40219
102210286,1184.9393,10.635221,597.7873
102210295,1749.493,51.024002,900.25854
102210302,19465.486,4501.748,11983.617
102210311,6989.28,2038.5148,4513.8975
102210329,3272.5234,525.32996,1898.9268
102270025,1691.9534,164.58769,928.2705
102270026,2543.8608,174.98927,1359.425
102310046,410997.9,255890.28,333444.1
102310055,732141.06,107630.81,419885.94
102310064,558824.75,84696.13,321760.44
102310073,914035.7,448948.03,681491.9
102310116,617081.44,330384.5,473732.97
102310143,870364.2,466295.97,668330.06
102310152,26401.459,14856.9,20629.18
102310197,438590.8,38991.184,238791.0
102310204,455121.22,311221.38,383171.3
102310213,644192.44,267854.6,456023.5
102310249,30608.256,8908.959,19758.607
102310258,139547.52,70781.29,105164.41
102310267,450218.0,326644.1,388431.06
102310285,1255730.9,460571.25,858151.06
102310294,167344.81,43932.926,105638.87
102310301,117238.95,46773.332,82006.14
102310319,229581.56,125488.68,177535.12
102310337,1049395.4,295699.72,672547.56
102310373,649858.8,449066.66,549462.75
102390048,241634.9,161376.38,201505.64
102390049,203471.4,88571.336,146021.38
102390057,45732.44,19201.574,32467.008
102390058,47230.684,19568.773,33399.727
102390059,871696.6,100628.94,486162.78
102390060,862456.8,497453.8,679955.3
102390061,805829.3,321861.9,563845.6
102390063,1029837.5,496917.53,763377.5
102390067,315638.3,195067.4,255352.86
102390068,24828.203,10136.813,17482.508
102390069,625378.6,244357.14,434867.88
102390086,817799.9,213955.52,515877.7
102390088,156737.28,124632.58,140684.94
102390089,898613.6,96863.52,497738.56
102390104,353731.62,276681.06,315206.34
102390119,217834.67,192583.84,205209.25
102390120,43884.35,32209.623,38046.99
102390121,807965.5,234900.92,521433.22
102410018,105925.664,64152.418,85039.04
102410027,281218.1,171412.19,226315.14
