FACULTY_NAME,DEPARTMENT_ID,DEPARTMENT_NAME,LAST_RANK,FIRST_RANK,FIELD_RATE,SUM_ENROLLMENT,SUM_CAPACITY
Akþehir Mühendislik ve Mimarlýk Fakültesi,108990310,Gýda Mühendisliði,273989.0,269554.33,0.08,1.67,19.33
Akþehir Ýktisadi ve Ýdari Bilimler Fakültesi,108911277,  Ýþletme,1098203.0,421038.0,1.0,41.0,41.0
Akþehir Ýktisadi ve Ýdari Bilimler Fakültesi,108911277,Ýþletme,851355.2,414521.0,0.8,37.6,45.8
Akþehir Ýktisadi ve Ýdari Bilimler Fakültesi,108911674,  Maliye,1005972.0,549264.0,1.0,82.0,82.0
Akþehir Ýktisadi ve Ýdari Bilimler Fakültesi,108911674,Maliye,715959.6,320247.2,0.83,70.4,84.2
Ali Cavit Çelebioðlu Sivil Havacýlýk Yüksekokulu,103610349,  Havacýlýk Yönetimi,728921.0,188892.0,1.0,62.0,62.0
Ali Cavit Çelebioðlu Sivil Havacýlýk Yüksekokulu,103610349,Havacýlýk Yönetimi,629601.67,282594.33,0.83,51.67,62.0
Ali Cavit Çelebioðlu Sivil Havacýlýk Yüksekokulu,103610349,Havacýlýk Yönetimi (Yüksekokul),492836.0,196784.0,1.0,62.0,62.0
Ali Cavit Çelebioðlu Sivil Havacýlýk Yüksekokulu,103610349,Havacýlýk Yönetimi(Yüksekokul),398864.0,183072.0,1.0,62.0,62.0
Ali Cavit Çelebioðlu Sivil Havacýlýk Yüksekokulu,103690123,  Uçak Bakým ve Onarým,317925.0,205508.0,1.0,16.0,16.0
Ali Cavit Çelebioðlu Sivil Havacýlýk Yüksekokulu,103690123,Uçak Bakým ve Onarým,270921.0,200937.0,1.0,18.5,18.5
Ali Fuad Baþgil Hukuk Fakültesi,108210841,Hukuk,25485.5,2653.0,1.0,108.0,108.0
Ali Fuad Baþgil Hukuk Fakültesi ,108210841,Hukuk (Çarþamba),36180.0,5374.0,1.0,134.0,134.0
Ali Fuad Baþgil Hukuk Fakültesi (Çarþamba),108210841,Hukuk,35039.5,6634.5,1.0,134.0,134.0
Ali Fuad Baþgil Hukuk Fakültesi (Çarþamba),108210841,Hukuk (Çarþamba),38555.0,8753.0,1.0,134.0,134.0
Ardahan Ýnsani Bilimler ve Edebiyat Fakültesi,101210014,  Çaðdaþ Türk Lehçeleri ve Edebiyatlarý,1493368.0,727517.0,0.65,34.0,52.0
Ardahan Ýnsani Bilimler ve Edebiyat Fakültesi,101210014,Çaðdaþ Türk Lehçeleri ve Edebiyatlarý,576052.33,387293.67,0.53,27.33,52.0
Ardahan Ýnsani Bilimler ve Edebiyat Fakültesi,101210032,  Tarih,1335288.0,597689.0,1.0,72.0,72.0
Ardahan Ýnsani Bilimler ve Edebiyat Fakültesi,101210032,Tarih,650582.0,289950.0,0.67,45.0,68.67
Ardahan Ýnsani Bilimler ve Edebiyat Fakültesi,101210041,  Türk Dili ve Edebiyatý,1081341.0,369323.0,1.0,72.0,72.0
Ardahan Ýnsani Bilimler ve Edebiyat Fakültesi,101210041,Türk Dili ve Edebiyatý,544984.67,126818.67,0.69,50.0,72.0
Ardahan Ýnsani Bilimler ve Edebiyat Fakültesi,101210147,  Coðrafya,990979.0,260009.0,1.0,52.0,52.0
Ardahan Ýnsani Bilimler ve Edebiyat Fakültesi,101210147,Coðrafya,491057.33,92765.0,0.78,40.33,52.0
Ardahan Ýnsani Bilimler ve Edebiyat Fakültesi,101210156,  Rus Dili ve Edebiyatý,121795.0,38320.0,1.0,21.0,21.0
Ardahan Ýnsani Bilimler ve Edebiyat Fakültesi,101210156,Rus Dili ve Edebiyatý,73419.5,19840.5,0.33,7.0,21.0
Ardahan Ýnsani Bilimler ve Edebiyat Fakültesi,101210192,  Sosyoloji,1502294.0,332441.0,1.0,26.0,26.0
Ardahan Ýnsani Bilimler ve Edebiyat Fakültesi,101210192,Sosyoloji,792374.5,697136.0,0.27,7.0,26.0
Ardahan Ýnsani Bilimler ve Edebiyat Fakültesi,101230027,Tarih(ÝÖ),657904.0,496369.0,1.0,41.0,41.0
